Date,Close,High,Low,Open,Volume
,COFORGE.NS,COFORGE.NS,COFORGE.NS,COFORGE.NS,COFORGE.NS
2025-04-01,1541.687255859375,1598.9793751133031,1537.5659113074669,1598.9793751133031,2221335
2025-04-02,1537.8729248046875,1552.3073644900853,1516.5728838107807,1541.6870940049669,2470850
2025-04-03,1418.166748046875,1515.76058247384,1415.1154365917382,1505.0907276498608,6409960
2025-04-04,1309.288818359375,1405.5749815858362,1300.0258006883546,1396.9558219483756,11705110
2025-04-07,1256.345947265625,1271.0578138015596,1182.905372778965,1183.8861558190258,11740295
2025-04-08,1282.4805908203125,1325.566110958307,1262.1910803799396,1287.5133017433277,4082910
2025-04-09,1252.967529296875,1266.9067408768442,1223.5140485150184,1258.1885357198976,5467845
2025-04-11,1251.58056640625,1307.317339330072,1245.2896477096544,1292.5955567949857,8440465
2025-04-15,1281.1727294921875,1292.8630336493834,1255.2164472289417,1271.2657330657555,2791565
2025-04-16,1269.6805419921875,1285.53173507807,1255.7117022722548,1281.1726327924512,2153440
2025-04-17,1307.7235107421875,1321.1970015143468,1238.5726282395422,1256.1080842400477,8477320
2025-04-21,1374.69482421875,1399.0660116711106,1320.8007385203075,1321.4943008434134,4754435
2025-04-22,1378.2613525390625,1395.4005054528895,1361.9148077467496,1374.1004622386636,2141160
2025-04-23,1464.650390625,1472.1796837979323,1414.4218456759988,1427.2018953818401,8121570
2025-04-24,1436.712646484375,1482.9783947107348,1432.7498477121826,1466.2355457112174,3868135
2025-04-25,1464.254150390625,1488.8235512204437,1422.9420214498236,1448.4029552578443,5022010
2025-04-28,1461.7772216796875,1479.9070722609001,1437.5050821126579,1468.2167689117566,2291125
2025-04-29,1483.0772705078125,1496.947064620778,1456.4274276323274,1477.3311645727238,2852330
2025-04-30,1447.412109375,1488.030792800308,1442.359565623732,1481.2939871752776,2021165
2025-05-02,1461.3809814453125,1493.2815816867214,1450.6814981383588,1454.1489467992722,2079045
2025-05-05,1485.3560791015625,1504.872814430171,1466.2355268970725,1470.198325618416,2420060
2025-05-06,1471.3870849609375,1584.921362614004,1464.2540957911713,1555.398464406048,11503675
2025-05-07,1505.863525390625,1508.835624453896,1453.5545335030477,1466.2355378803454,2994720
2025-05-08,1536.4761962890625,1571.0516401719608,1509.8263500441913,1510.024441611133,5923215
2025-05-09,1525.6507568359375,1538.362906818281,1500.6238555212542,1500.6238555212542,2793100
2025-05-12,1650.885009765625,1663.299172080436,1557.729087262463,1589.2113544000017,6150415
2025-05-13,1641.9468994140625,1673.4291682104197,1631.2210141160915,1668.264924908173,3061420
2025-05-14,1681.076171875,1687.332958235322,1634.6969095087345,1635.6900425035758,3161205
2025-05-15,1680.5797119140625,1697.264395777905,1660.8164610495194,1681.076278442962,2536890
2025-05-16,1673.6275634765625,1688.2266902722527,1670.449586596546,1684.3534476027003,1186730
2025-05-19,1643.734375,1674.2236303003249,1639.165987527159,1674.2236303003249,1391245
2025-05-20,1629.8304443359375,1692.2985305370298,1625.3613461038856,1664.0935307816696,4093215
2025-05-21,1641.8475341796875,1651.5802867072277,1618.0123406252837,1631.121769819444,1140780
2025-05-22,1641.052978515625,1662.4053378213548,1622.8785962881586,1628.738105181258,1588285
2025-05-23,1652.8712158203125,1682.5657940152846,1636.7823893042964,1650.7855396413859,1916425
2025-05-26,1679.4871826171875,1685.3466915306763,1645.2240943096988,1661.1142222204182,1328450
2025-05-27,1680.28173828125,1684.2542702607639,1668.4634313957854,1678.39476134457,823720
2025-05-28,1681.7713623046875,1703.0244316877734,1679.5863970747714,1695.2779461825203,1397865
2025-05-29,1714.246826171875,1727.8528208453702,1691.4047674501205,1697.0656982203966,1920635
2025-05-30,1698.356689453125,1724.8734128302015,1681.3741396955231,1722.489869425333,1536140
2025-06-02,1705.30859375,1711.2673915532605,1678.8912810686224,1698.158084878908,1574265
2025-06-03,1688.1275634765625,1719.4112537471754,1684.7508869469734,1716.133866273621,910355
2025-06-04,1712.65771484375,1718.6165123439312,1682.3671608844954,1707.1954838019171,1812516
2025-06-05,1753.8729248046875,1779.6943834937713,1701.2368744000169,1712.6579042048038,2409185
2025-06-06,1763.3077392578125,1771.252803698287,1732.024048023444,1767.2802714780498,1206610
2025-06-09,1781.6805419921875,1792.6050046242467,1759.8316167280693,1776.218310676158,1439693
2025-06-10,1817.929931640625,1881.9870092646734,1804.5226363239638,1804.5226363239638,6550333
2025-06-11,1804.0260009765625,1835.3096888547689,1798.0672032854757,1822.3989605240806,2303047
2025-06-12,1772.2457275390625,1815.4470103342148,1754.3693346583098,1808.9916462383874,1603658
2025-06-13,1780.19091796875,1809.4883417233264,1732.520533554524,1756.852292265952,1328872
2025-06-16,1816.9368896484375,1836.3029838534906,1772.7424695394702,1780.1909673106445,1346285
2025-06-17,1827.8612060546875,1849.7101310931025,1803.0328821473975,1822.3989747950836,1357037
2025-06-18,1820.9093017578125,1837.2959957741766,1794.0947115492163,1818.4264693310906,1254949
2025-06-19,1781.6805419921875,1827.3646584535256,1765.7904145273742,1826.3715254869749,1334241
2025-06-20,1819.4195556640625,1826.371486280683,1767.7766425120258,1783.1702031631137,1770433
2025-06-23,1818.426513671875,1835.3097745852676,1793.101622301786,1802.5363857533878,655286
2025-06-24,1849.213623046875,1862.1243518866222,1822.895598873544,1846.2342240838564,1519443
2025-06-25,1867.0899658203125,1881.9869602284532,1850.2067054910863,1857.1586362148853,1087112
2025-06-26,1875.0350341796875,1880.993831957801,1848.220444178177,1871.062502327612,2528144
2025-06-27,1886.4561767578125,1941.5750595217285,1880.0008121097862,1882.980211178106,3971962
2025-06-30,1911.2845458984375,1916.2502111255055,1870.069524513774,1902.842915012422,1701327
2025-07-01,1909.2982177734375,1947.8318271763303,1893.0108121114295,1916.7467153720336,2376579
2025-07-02,1912.87353515625,1942.4689484121704,1892.9115851832585,1906.9147368818012,1567953
2025-07-03,1924.98974609375,1942.9654291818983,1913.1714391246173,1921.215792193672,1090866
2025-07-04,1937.2052001953125,1939.5887436351309,1910.4898983227954,1929.6574136626007,859326
2025-07-07,1928.3663330078125,1953.6912249727227,1923.4006679166537,1937.2052411164868,932234
2025-07-08,1936.212158203125,1980.3072896001113,1927.9692266777272,1931.5444813894696,1511062
2025-07-09,1918.0377197265625,1946.54058697154,1909.397390300265,1940.5817892563211,939038
2025-07-10,1874.7371826171875,1925.6849558310707,1862.5217190197952,1922.705556724576,1659275
2025-07-11,1854.9737548828125,1880.2986448672566,1833.5219863809386,1874.7370034144458,2092630
2025-07-14,1862.1243896484375,1877.8159396646977,1829.3510003906251,1850.2067935546875,1090630
2025-07-15,1880.89453125,1901.8496123934076,1859.343473346834,1862.1242941188716,1579538
2025-07-16,1869.4736328125,1881.2919400709902,1856.3642041270937,1879.2062637302704,1256821
2025-07-17,1852.490966796875,1880.3979788472234,1843.254781736088,1877.0213025222017,851068
2025-07-18,1846.5322265625,1868.8777189556413,1825.974300821577,1852.4910245340043,1092144
2025-07-21,1861.4293212890625,1871.8572182982716,1830.34420837831,1847.1281811443064,746077
2025-07-22,1845.638427734375,1870.5660422780775,1835.3098200848883,1865.103810670682,1001823
2025-07-23,1836.998046875,1856.264851166897,1826.3715723530433,1854.8744407316365,1602723
2025-07-24,1664.4908447265625,1824.88181812951,1659.4258908655113,1820.4127197993969,11480454
2025-07-25,1677.2030029296875,1713.1543678372782,1642.1453607066314,1663.4977194941687,5036489
2025-07-28,1712.8564453125,1720.1063647421688,1656.0492859166088,1677.2030674169418,2064973
2025-07-29,1708.685302734375,1715.0413780923811,1682.367278600425,1698.2574063794136,3254411
2025-07-30,1737.486083984375,1740.9620492852869,1699.6477430980015,1713.154326877992,1877573
2025-07-31,1740.1737060546875,1748.236614961894,1693.3894900216503,1717.6774903067328,2814159
2025-08-01,1698.4661865234375,1738.4815740938802,1692.5932499471126,1736.7894276357274,1167544
2025-08-04,1738.4815673828125,1741.4677939514634,1682.2409670065579,1697.1720998498113,1391708
2025-08-05,1698.8642578125,1739.9746924567596,1690.8014703244858,1736.988465867875,1980437
2025-08-06,1630.7784423828125,1702.5473994587635,1626.4981355274745,1698.8643136388534,2517229
2025-08-07,1696.2762451171875,1700.1583640443218,1625.403181590015,1630.7784138345185,2503589
2025-08-08,1599.423095703125,1674.2777976231084,1593.9483466621457,1674.2777976231084,3441538
2025-08-11,1606.4903564453125,1619.4306714077409,1577.0262789866797,1599.4229779601137,1857927
2025-08-12,1617.9375,1644.415349977323,1606.4902987138382,1612.1640803125988,1170688
2025-08-13,1614.2545166015625,1632.57006411978,1599.8210879800665,1627.4935031824696,873679
2025-08-14,1634.46142578125,1642.3251804508695,1614.1550597704213,1618.5348832645022,1241786
2025-08-18,1647.8994140625,1658.948428417181,1634.5609106614993,1656.3603896103896,1056549
2025-08-19,1645.1121826171875,1657.2562436763733,1632.1718673719072,1657.2562436763733,844413
2025-08-20,1700.5565185546875,1713.0986458726995,1625.203995042976,1634.8595338785701,2185643
2025-08-21,1720.2655029296875,1725.4417017862936,1670.3955445144784,1707.1261548895864,2306077
2025-08-22,1739.676025390625,1747.937967577085,1713.2976904585107,1720.2655525160503,2262754
2025-08-25,1755.9012451171875,1789.2474422325083,1748.9333830333892,1748.9333830333892,2137912
2025-08-26,1731.314697265625,1770.8323808251148,1726.5366860827214,1744.8522336040226,1692453
2025-08-28,1729.2242431640625,1745.051268524701,1703.144579331722,1722.0573478923898,1147193
2025-08-29,1716.383544921875,1749.4310704510563,1712.302271390309,1724.0481445355501,868677
2025-09-01,1756.4984130859375,1763.1677252134944,1721.0618827177254,1722.0572915567757,1050753
2025-09-02,1746.5443115234375,1774.1172090630998,1743.4585684476274,1769.8369024835179,1084460
2025-09-03,1723.84912109375,1751.1232267881633,1710.2119467366724,1736.9884695084327,915451
2025-09-04,1684.7294921875,1739.6760125458857,1678.7570390394203,1733.0068218011447,1208094
2025-09-05,1650.6865234375,1702.9454873938178,1632.4704931116364,1697.9684432075017,1573984
2025-09-08,1654.7677001953125,1678.2593248052026,1648.5960924057654,1662.2332665867948,1245512
2025-09-09,1688.8106689453125,1706.1308076304667,1659.3465906184294,1667.3098615992017,1705824
2025-09-10,1760.4801025390625,1770.6333459152888,1702.149167080274,1704.1399848195495,2946800
2025-09-11,1762.8690185546875,1766.6516206710605,1736.9883892591358,1760.4800130869712,900505
2025-09-12,1755.9012451171875,1782.67776799833,1752.8155019249084,1773.8186047612405,1155805
2025-09-15,1746.245849609375,1765.7558393869228,1732.310125266859,1757.7925683340566,570950
2025-09-16,1771.4295654296875,1776.8047975224856,1745.3499021596356,1750.9241674185166,782670
2025-09-17,1783.673095703125,1809.2550538713251,1770.63326441307,1778.795568164439,1223772
2025-09-18,1816.1234130859375,1819.0101229992836,1794.8216397896977,1797.7083497030437,2107488
2025-09-19,1787.0576171875,1821.5982568416964,1783.8722358543118,1821.5982568416964,1490876
2025-09-22,1709.017578125,1738.5811740830763,1694.3849942742327,1712.103321437243,2928020
2025-09-23,1660.242431640625,1715.288467689574,1654.5685283361008,1710.1123903158482,2038607
2025-09-24,1615.74755859375,1665.61763801,1610.5714812998233,1665.61763801,2635426
2025-09-25,1583.9942626953125,1639.438490924698,1580.1121436060835,1616.3450525890905,1465683
2025-09-26,1531.4365234375,1586.6817148907214,1524.6676946194636,1584.1931927531891,1851852
2025-09-29,1545.073486328125,1567.6693389292868,1517.998415649663,1546.765754189193,2271394
2025-09-30,1583.695556640625,1603.6037345996524,1551.2452508693855,1576.6281777671454,6590593
2025-10-01,1593.4505615234375,1599.1243434564963,1547.1640492478527,1583.6955060313012,1603862
2025-10-03,1605.6939697265625,1612.3632818364947,1581.2069366526127,1587.6770940893405,1434833
2025-10-06,1654.7677001953125,1658.6498190208572,1590.762862395057,1607.4857797159252,1432985
2025-10-07,1678.757080078125,1684.2318289310333,1639.4384292254206,1662.731021374314,1937983
2025-10-08,1705.8321533203125,1725.2426265288805,1665.6177316755882,1674.775444790553,2733508
2025-10-09,1712.2027587890625,1720.5642175297116,1691.1996561081748,1712.103242204862,1167579
2025-10-10,1714.3927001953125,1739.3774378714745,1705.135349344486,1727.0343439069954,1374406
2025-10-13,1708.12158203125,1714.989927379853,1678.657504452032,1702.1491289472247,857446
2025-10-14,1692.6927490234375,1727.0343543402905,1680.2501384013892,1719.1706001251823,836488
2025-10-15,1757.294921875,1763.6655632294662,1702.1492437124004,1702.1492437124004,2653260
